Student_ID,Name,Gender,Age,Department,Admission_Year,Semester,Course_Code,Course_Name,Credit_Hours,Attendance_Percentage,Midterm_Marks,Final_Marks,Assignment_Marks,Total_Marks,Grade,GPA,CGPA,Scholarship,Hostel_Resident,Family_Income_Range,Extracurricular_Activities
STU100000,Anik Mollah,Male,24,CSE,2022,1,CSE101,Intro to Programming,2.0,88.5,27.1,27.2,14.4,68.7,B+,3.25,3.06,No,No,Above 100k,Yes
STU100001,Fatema Chowdhury,Female,23,BBA,2023,2,BBA301,Finance,3.0,83.9,23.2,27.9,13.8,64.9,B,3.0,2.87,No,Yes,20k-50k,No
STU100002,Farhana Alam,Female,23,Pharmacy,2021,4,PHR201,Pharmacology,1.0,96.2,22.9,21.6,18.7,63.2,B,3.0,3.27,No,Yes,Below 20k,Yes
STU100003,Ayesha Hossain,Female,19,Economics,2024,2,ECO101,Microeconomics,3.0,91.6,17.1,22.6,7.1,46.8,C,2.25,1.9,No,No,50k-100k,No
STU100004,Nayeem Rahman,Male,20,Civil Engineering,2020,4,CE301,Geotechnical Engineering,3.0,75.7,17.9,45.1,17.4,80.4,A+,4.0,3.49,No,No,20k-50k,No
STU100005,Nayeem Chowdhury,Male,25,Civil Engineering,2023,4,CE301,Geotechnical Engineering,3.0,80.8,24.1,35.9,12.4,72.4,A-,3.5,3.76,Yes,No,20k-50k,Yes
STU100006,Rahim Uddin,Male,18,EEE,2023,8,EEE301,Signals and Systems,3.0,82.7,19.7,30.6,8.1,58.4,B-,2.75,2.91,No,No,20k-50k,No
STU100007,Rupa Alam,Female,21,Mathematics,2023,3,MAT401,Statistics,3.0,85.6,17.3,27.6,13.2,58.1,B-,2.75,2.85,No,Yes,50k-100k,Yes
STU100008,Sathi Sikder,Female,25,Law,2021,6,LAW201,Constitutional Law,3.0,82.4,15.4,35.6,18.9,69.9,B+,3.25,2.52,No,Yes,20k-50k,Yes
STU100009,Popy Hossain,Female,22,Pharmacy,2019,8,PHR101,Pharmaceutics,3.0,68.1,14.2,31.4,11.4,57.0,B-,2.75,3.0,No,No,Below 20k,Yes
STU100010,Sabbir Chowdhury,Male,21,Mathematics,2023,3,MAT401,Statistics,2.0,92.2,8.8,39.6,16.2,64.6,B,3.0,3.02,Yes,Yes,20k-50k,Yes
STU100011,Lamia Talukder,Female,20,Public Health,2021,5,PH401,Global Health,3.0,99.5,18.6,22.8,14.5,55.9,B-,2.75,2.86,No,Yes,50k-100k,Yes
